ID,Domain,Repository,Created,URL,Title,Labels,Description
adobe-aem-core-cif-components-759,traditional-website,adobe/aem-core-cif-components,2021-11-23T11:22:20Z,https://github.com/adobe/aem-core-cif-components/issues/759,[Feature Request] Store Root URL can not be customized / overridden,"enhancement, Done","<!--- STOP! Before you open an issue please search this repository's issues to see if it has already been reported. This helps reduce duplicate issues from being created. -->
  <!--- SECURITY DISCLOSURE: If this is a security disclosure please follow the guidelines in CONTRIBUTING.md. This helps keep folks from accidentally releasing vulnerabilities before the maintainers get a chance to fix the issue. -->
  
  ### Expected Behaviour
  We have a custom link rewriter service in place so we need to customize
  
  ```html
  <meta name=""store-config"" content=""{&#34;storeView&#34;:&#34;my_store&#34;,&#34;graphqlEndpoint&#34;:&#34;/api/graphql&#34;,&#34;graphqlMethod&#34;:&#34;POST&#34;,&#34;headers&#34;:{&#34;Store&#34;:&#34;purolator_en&#34;},&#34;storeRootUrl&#34;:&#34;/content/website/foo/bar/en.html&#34;}""/>
  ```
  
  ... (1 more lines)"
adobe-aem-core-cif-components-719,headless-api,adobe/aem-core-cif-components,2021-10-19T11:00:13Z,https://github.com/adobe/aem-core-cif-components/issues/719,Multiple currency enablement,"enhancement, feature","### User Story
  
  As a business user, I want to give website users the ability to change the currency displayed on the e-commerce.
  
  ### Description & Motivation
  
  Current version of CIF doesn't allow to display a currency selection with currencies [configured](https://devdocs.magento.com/guides/v2.4/graphql/queries/directory-currency.html) on Magento 
  ### Deliverables
  <!--- What needs to be done? Example: -->
  <!--- Code changes -->
  ... (13 more lines)

Acceptance Criteria (4):
--------------------------------------------------------------------------------
  1. be able to select the desired currency for e-commerce
  2. be able to pass to each Magento call the header Content-Currency as specified in the [documentation](https://devdocs.
  3. support the header Content-Currency to use the value selected by end user
  4. be used in Magento calls"
adobe-aem-core-cif-components-580,traditional-website,adobe/aem-core-cif-components,2021-06-02T21:28:10Z,https://github.com/adobe/aem-core-cif-components/issues/580,Ability to change class outside of the Search Bar component,"enhancement, good first issue","### User Story
  As a developer, I want the ability to close the Search Bar component by simply changing the CSS class without bugs resulting from the internal toggle() method.
  
  ### Description & Motivation
  Instead of relying on an internal state (this._state.visible), we would like to check against the current CSS class (.searchBar__root_open) of the the search bar root <div>. The current method introduces errors when the CSS class is changed outside the components toggle method. 
  The motivation for this change is to prevent phantom clicks that don’t change the component state when the CSS of the root element is changed (from an outside source). Furthermore, this will ultimately let the user see only one menu item open at a time. 
  
  ### Deliverables
  Provide a code update for the toggle() function within searchbar.js (lines 73 -81) to check for the current CSS state and toggle that class. This would require code change and also update stateObject.visible afterward.
  
  ... (1 more lines)

Acceptance Criteria (2):
--------------------------------------------------------------------------------
  1. ultimately let the user see only one menu item open at a time.
  2. have the ability to detect the current CSS state of the component and toggle accordingly despite any internal state.

Technical Notes (1):
--------------------------------------------------------------------------------
  • (Check against this._classes.open class that gets assigned to the root element)

### Verification Steps
- Author the component and ""view as published"""
adobe-aem-core-cif-components-522,traditional-website,adobe/aem-core-cif-components,2021-03-24T17:36:49Z,https://github.com/adobe/aem-core-cif-components/issues/522,Full cart and checkout component,enhancement,"### User Story
  As a user, I want to be able to see the cart and checkout process as a standalone page (or pages) because that's what I'm used to from other e-commerce shops.
  
  ### Description & Motivation
  * Online shoppers are not accustomed to using a ""mini checkout"" the way it's implemented with the CIF Components. They're used to seeing a full-page to go through the checkout process. 
  * Having the checkout process on a separate template that's more minimal with fewer distractions may also help with conversions.
  
  ### Deliverables
  Add a new ""full checkout"" component (potentially based on the existing mini-cart component) that can be dropped on a page on its own and guide the user through the checkout process. To allow for more flexibility and extensibility, there should also be a separate ""full cart"" component.

Acceptance Criteria (5):
--------------------------------------------------------------------------------
  1. also be a separate ""full cart"" component.
  2. The full cart and full checkout components should have feature parity to the existing mini-cart component.
  3. be configurable similar to how the category/product/search pages are configurable.
  4. The cart/checkout pages should be configurable similar to how the category/product/search pages are configurable.
  5. have feature parity to the existing mini-cart component."
adobe-aem-core-cif-components-492,traditional-website,adobe/aem-core-cif-components,2021-02-23T22:49:50Z,https://github.com/adobe/aem-core-cif-components/issues/492,Ability to control how product URLs are displayed/chosen,enhancement,"### User Story
  - As a user, I want to have full control over how a product URL looks, so that I can use the CIF connector on an existing product site without changing anything from an SEO perspective, or from a marketing perspective.
  
  ### Description & Motivation
  - Whoever is using the CIF library would like full control over how product pages respond, or category pages. This motivation came from a client using the CIF library and was unable to do this - workarounds were implemented for this client, but I thought it would be much cleaner if a `UrlDelegator` could be used to choose which `UrlProvider` to use. This way, custom client-specific code can be used to implement the `UrlProvider` class and the `UrlDelegator` will be able to use theirs or the default provider based on priority. 
  
  ### Deliverables
  - Make a `UrlDelegator` class so that custom versions of the `UrlProvider` can be implemented for client-specific product-name handling. The documentation would need to reflect t

Acceptance Criteria (5):
--------------------------------------------------------------------------------
  1. not have to modify the URL structure to make it work with CIF.
  2. be able to use theirs or the default provider based on priority.
  3. be able to have product pages be whatever page they want.
  4. determine if the custom version should be used on a case-by-case basis.
  5. A user of the CIF library should be able to have product pages be whatever page they want. If they have a custom/existing page template type, they should not have to modify the URL structure to make it work with CIF. An implementor can help write custom logic to define what the product-key is for any of their custom pages, which would then pull in the product on the page with the customer's existing URL structure."
adobe-aem-core-cif-components-440,ecommerce-cif,adobe/aem-core-cif-components,2020-11-13T08:55:31Z,https://github.com/adobe/aem-core-cif-components/issues/440,Wishlist Feature,feature,"### User Story
  
  As I user I want to use whishlists to manage products with my personal touch.
  
  ### Description & Motivation
  
  The ability to create/edit/delete different wishlists is crucial to offer the user a pleasant commerce journey. The user should be able to add/remove/update products to the desired wishlist organizing the cluster of products as preferred.
  
  ### Deliverables
  
  ... (6 more lines)

Acceptance Criteria (3):
--------------------------------------------------------------------------------
  1. support all CRUD operations (create, read, update and delete) to manage products of wishlist.
  2. be able to add/remove/update products to the desired wishlist organizing the cluster of products as preferred.
  3. support all CRUD operations (create, read, update and delete) to customize/handle wishlist itself."
adobe-aem-core-cif-components-362,ecommerce-cif,adobe/aem-core-cif-components,2020-08-05T08:21:15Z,https://github.com/adobe/aem-core-cif-components/issues/362,Use an address from the Address Book during checkout,enhancement,"### User Story
  <!--- Add a user story in the format -->
  <!--- As a [user], I want [goal] so that [reason]. -->
  As a registered shopper, I want to select an address from my address book during checkout.
  
  ### Description & Motivation
  <!--- Describe the feature and name the business value of it. -->
  
  During the checkout experience, a registered shopper must be able to select an address from the address book as the shipping or billing address
  
  ... (10 more lines)

Acceptance Criteria (3):
--------------------------------------------------------------------------------
  1. be the street names
  2. be pre-filled with the default address
  3. be able to select an address from the address book as the shipping or billing address"
adobe-aem-core-cif-components-328,traditional-website,adobe/aem-core-cif-components,2020-07-06T09:22:23Z,https://github.com/adobe/aem-core-cif-components/issues/328,[Bundle products] Implement option and quantity selection,feature,"### User Story
  As a user, I want to be able to select the options and quantities of the items of a bundle product. When selecting an option and/or changing the selected quantities, the price calculation and bundle content should be updated to always display the current selection. See the screenshot of that feature in Magento's LUMA demo.
  
  ### Deliverables
  That feature should be implemented client-side as a React component. The selection of options and quantities should be stored so that's later possible to add the bundle product to the cart but this will be implemented in another related issue. This will done according to https://devdocs.magento.com/guides/v2.3/graphql/mutations/add-bundle-products.html
  
  The content and options of the bundle product should be fetched client-side with GraphQL, using the `onBundleProduct` fragment of a product query.
  
  ### Acceptance Criteria
  The user must be able to select the option(s) and quantities of the bundle product, and the price and cur

Acceptance Criteria (5):
--------------------------------------------------------------------------------
  1. done according to https://devdocs.
  2. be updated to always display the current selection.
  3. be implemented client-side as a React component.
  4. be fetched client-side with GraphQL, using the `onBundleProduct` fragment of a product query.
  5. be stored so that's later possible to add the bundle product to the cart but this will be implemented in another related issue.

Technical Notes (4):
--------------------------------------------------------------------------------
  • ### Acceptance Criteria
The user must be able to select the option(s) and quantities of the bundle product, and the price and current content of the bundle must always be displayed
  • The selection of options and quantities should be stored so that's later possible to add the bundle product to the cart but this will be implemented in another related issue
  • ### User Story
As a user, I want to be able to select the options and quantities of the items of a bundle product
  • When selecting an option and/or changing the selected quantities, the price calculation and bundle content should be updated to always display the current selection"
adobe-aem-core-cif-components-327,traditional-website,adobe/aem-core-cif-components,2020-07-03T11:11:04Z,https://github.com/adobe/aem-core-cif-components/issues/327,[My Account] Address book management,enhancement,"### User Story
  <!--- Add a user story in the format -->
  <!--- As a [user], I want [goal] so that [reason]. -->
  As a registered shopper, I want to manage my shipping/billing addresses so I can use them properly during the checkout process.
  
  ### Description & Motivation
  
  Improve the checkout experience by allowing the shopper to select a previously stored address in the checkout process.
  
  ### Deliverables
  ... (9 more lines)

Acceptance Criteria (3):
--------------------------------------------------------------------------------
  1. be done via the same form used in the checkout process
  2. have the ""Edit"" and ""Remove"" actions:
  3. allow the developer to customize the display type (list/grid) via props or a similar mechanism."
adobe-aem-guides-wknd-396,traditional-website,adobe/aem-guides-wknd,2023-02-06T19:41:06Z,https://github.com/adobe/aem-guides-wknd/issues/396,Include WCM Core Email Components,enhancement,"### Expected Behaviour
  Similar to how the WCM Core forms components are added to WKND, there should be a set of usable email components in WKND. Email components also require a special template with an email page component, similar to experience fragments template page.
  * Components:
     * /apps/wknd/components/email/*
  * Template
     * /conf/wknd/settings/wcm/templates/email-page
     * /conf/wknd/settings/wcm/template-types/email-page
     * /conf/wknd/settings/wcm/policies/wknd/email/*
  * Example Page
     * /content/campaigns/wknd/master/campaign-emails/wknd-email 
  ... (6 more lines)

Acceptance Criteria (1):
--------------------------------------------------------------------------------
  1. be a set of usable email components in WKND.

Technical Notes (1):
--------------------------------------------------------------------------------
  • #### Platform and Version
AEM 6.5.x only since the disclaimer on the Core Email components is they are currently only compatible with 6.5.x and not Cloud Service"
